cgmlst_ST,cgmlst_distance,cgmlst_found_loci,cgmlst_genome_match,cgmlst_matching_alleles,cgmlst_subspecies,fasta_filepath,genome,h1,h2,o_antigen,qc_messages,qc_status,serogroup,serovar,serovar_antigen,serovar_cgmlst
1892736296,0.12424242424242427,330,SRR1957955,289,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/ISLHD_2017_1_S76.fasta,ISLHD_2017_1_S76,"l,v","e,n,z15","6,7,14",INFO: Number of cgMLST330 loci found (n=330) | WARNING: Only matched 289 cgMLST330 loci. Min threshold for confident serovar prediction from cgMLST is 297.0,WARNING,C1,Potsdam,Bonn|Potsdam|Langeveld|Kenya|Neukoelln|Fann|Bullbay|Osnabrueck,Potsdam
4155467356,0.024242424242424288,330,SRR3322638,322,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/SIML_2017_14.fasta,SIML_2017_14,i,z6,"8,20",INFO: Number of cgMLST330 loci found (n=330),PASS,C2-C3,Kentucky,Kentucky,Kentucky
1862772896,0.030303030303030276,330,SRR3049386,320,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/W_1_H11.fasta,W_1_H11,"z4,z23",-,"1,9,12",INFO: Number of cgMLST330 loci found (n=330),PASS,D1,Wangata,Wangata|Ekotedo,Wangata
,1.0,23,2014-LET-0131,0,,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/Seagull_18_119_S25.fasta,Seagull_18_119_S25,-,-,-,FAIL: Large number of cgMLST330 loci missing (n=307 > 30) | FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=23) | WARNING: H1 antigen gene (fliC) missing. Cannot determine H1 antigen. Cannot accurately predict serovar from antigen genes. | WARNING: Only matched 0 cgMLST330 loci. Min threshold for confident serovar prediction from cgMLST is 297.0,FAIL,-,-:-:-,-:-:-,Senftenberg
1203271397,0.009090909090909038,330,SRR3049218,327,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/ISLHD_2017_4_S118.fasta,ISLHD_2017_4_S118,"l,v","1,5","1,9,12",INFO: Number of cgMLST330 loci found (n=330),PASS,D1,Panama,Koessen|Mendoza|Houston|Panama|Victoria|Itami|Javiana|India,Panama
,1.0,234,2014-LET-0131,0,,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/Seagull_18_229_S54.fasta,Seagull_18_229_S54,-,-,-,FAIL: Large number of cgMLST330 loci missing (n=96 > 30) | FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=234) | WARNING: H1 antigen gene (fliC) missing. Cannot determine H1 antigen. Cannot accurately predict serovar from antigen genes. | WARNING: Only matched 0 cgMLST330 loci. Min threshold for confident serovar prediction from cgMLST is 297.0,FAIL,-,-:-:-,-:-:-,Senftenberg
4203858543,0.012121212121212088,330,SRR1272806,326,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/Seagull_18_89_S8.fasta,Seagull_18_89_S8,"e,h","1,6","3,{10}{15}{15,34}",INFO: Number of cgMLST330 loci found (n=330),PASS,E1,Anatum,Anatum|Hayindogo,Anatum
674021603,0.039393939393939426,330,SRR3284831,317,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/Seagull_18_100_2_S17.fasta,Seagull_18_100_2_S17,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
3123716434,0.027272727272727226,330,SRR1805681,321,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/ISLHD_2019_01.fasta,ISLHD_2019_01,r,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Infantis,Virchow|Infantis|Senegal,Infantis
,1.0,23,2014-LET-0131,0,,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/output/shovill/final_assemblies/Seagull_18_242_S60.fasta,Seagull_18_242_S60,-,-,-,FAIL: Large number of cgMLST330 loci missing (n=307 > 30) | FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=23) | WARNING: H1 antigen gene (fliC) missing. Cannot determine H1 antigen. Cannot accurately predict serovar from antigen genes. | WARNING: Only matched 0 cgMLST330 loci. Min threshold for confident serovar prediction from cgMLST is 297.0,FAIL,-,-:-:-,-:-:-,Senftenberg
