genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
ISLHD_2017_10_S81	4428	4358	40	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2017_11_S82	4598	4544	113	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2017_12_S83	4492	4438	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2017_13_S84	4491	4438	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2017_14_S85	4425	4379	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2017_15_S86	4451	4381	30	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2017_16_S87	4581	4528	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2017_17_S88	4433	4382	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2017_18_S89	4867	4764	76	genus	0.94	0.92	0.88	0.04	0.08	0.98	0.91	False
ISLHD_2017_1_S76	4581	4494	33	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
ISLHD_2017_2_S116	4369	4322	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2017_3_S117	4712	4659	84	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
ISLHD_2017_4_S118	4609	4544	75	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2017_5_S77	4689	4620	80	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.95	True
ISLHD_2017_6_S119	4392	4303	41	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
ISLHD_2017_7_S78	4566	4498	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2017_8_S79	4437	4378	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
ISLHD_2017_9_S80	4619	4563	77	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
ISLHD_2018_10_S99	4574	4524	80	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
ISLHD_2018_11_S100	4595	4533	90	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
