Uberstrain	Name	Data_Source(Accession_No.;Sequencing_Platform;Sequencing_Library;Insert_Size;Experiment;Bases;Average_Length;Status)	Barcode	Source_Niche	Source_Type	Source_Details	Collection_Year	Collection_Month	Collection_Day	Collection_Time	Continent	Country	Region	District	City	Post_Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic_Formulas	Phage_Type	Lab_Contact	Comment	Bio_Project_ID	Project_ID	Sample_ID	Secondary_Sample_ID	Date_Entered	Release_Date	ST	eBG	Serotype_(Predicted)	Lineage	Status	Coverage	N50	Length	Species	Contig_Number(>=200_bp)	Low_Quality_Bases	Version	SISTR1_Serovar	SISTR1_Serogroup	SeqSero2_Serovar	SeqSero2_Serogroup	wgMLST	cgMLST	HC0	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900	HC2000	HC2600	HC2850	Lab_Contact_Lowercase	Accession_No	Sequencing_Platform	Sequencing_Library	Insert_Size	Experiment	Bases	Average_Length
SAL_BA8335AA	91205	SRR1969860;ILLUMINA;Paired;;SRX991678;350421390;99	SAL_BA8335AA	Human	Human	Homo sapiens; human	2015	2	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Typhimurium	I	NA	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	PRJNA248792	SRP042645	SAMN03479937	SRS906462	2015-08-27	2015-04-13	19	1	Typhimurium	ND	Assembled	72	192276	4890090	Salmonella enterica;98.89%	103	4011	2.2	Typhimurium	B	Typhimurium	4	35809	31313	31313	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	public health england - gastrointestinal bacteria reference unit	SRR1969860	ILLUMINA	Paired	_	SRX991678	350421390	99
SAL_BA9375AA	43422	SRR1969362;ILLUMINA;Paired;;SRX991180;245633664;96	SAL_BA9375AA	Human	Human	Homo sapiens; human	2014	9	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Agona	I	NA	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	PRJNA248792	SRP042645	SAMN03479439	SRS905948	2015-08-27	2015-04-12	13	54	Agona	ND	Assembled	51.7	209356	4751246	Salmonella enterica;98.52%	69	1400	2.2	Agona	B	Agona	4	34859	30486	30486	7255	4181	477	419	29	29	28	28	28	28	28	2	public health england - gastrointestinal bacteria reference unit	SRR1969362	ILLUMINA	Paired	_	SRX991180	245633664	96
SAL_CA0055AA	40256	SRR1968955;ILLUMINA;Paired;;SRX990792;155419050;95	SAL_CA0055AA	Human	Human	Homo sapiens; human	2014	8	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Agona	I	NA	NA	NA	Gastrointestinal Bacteria Reference Unit, Public Health England	NA	PRJNA248792	SRP042645	SAMN03479053	SRS905558	2015-08-27	2015-04-12	13	54	Agona	ND	Assembled	32.54	74656	4776816	Salmonella enterica;99.15%	119	7644	2.2	Agona	B	Agona	4	34289	29948	29948	29948	4181	477	419	29	29	28	28	28	28	28	2	gastrointestinal bacteria reference unit, public health england	SRR1968955	ILLUMINA	Paired	_	SRX990792	155419050	95
SAL_CA4227AA	13381	SRR1965714;ILLUMINA;Paired;;SRX987564;228534336;96	SAL_CA4227AA	Human	Human	Homo sapiens; human	2014	5	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Agona	I	NA	NA	NA	Gastrointestinal Bacteria Reference Unit, Public Health England	NA	PRJNA248792	SRP042645	SAMN03475822	SRS902359	2015-08-27	2015-04-12	13	54	Agona	ND	Assembled	47.11	120189	4851097	Salmonella enterica;94.19%	82	2682	2.2	Agona	B	Agona	4	31037	26713	26713	7255	4181	477	419	29	29	28	28	28	28	28	2	gastrointestinal bacteria reference unit, public health england	SRR1965714	ILLUMINA	Paired	_	SRX987564	228534336	96
SAL_DA8688AA	FNW19I06	SRR1202986;ILLUMINA;Paired;500;SRX499408;635464574;181	SAL_DA8688AA	Environment	Plant	frozen whole rhizome	2012	8	NA	NA	Asia	Thailand	NA	NA	NA	NA	NA	NA	Agona	I	NA	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	PRJNA186035	SRP018785	SAMN02345337	SRS580801	2015-08-27	2014-03-24	13	54	Agona	ND	Assembled	135	368393	4740658	Salmonella enterica;94.35%	66	1060	2.2	Agona	B	Agona	4	113463	14586	14586	7255	4181	477	419	29	29	28	28	28	28	28	2	food and drug administration - center for food safety and applied nutrition (us)	SRR1202986	ILLUMINA	Paired	500	SRX499408	635464574	181
SAL_FA1103AA	PNUSAS001578	SRR3185118;ILLUMINA;Paired;;SRX1598381;555097098;239	SAL_FA1103AA	Human	Human	Age: 5-9; stool	2016	1	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	NA	PulseNet Next Generation Subtyping Methods Unit	NA	PRJNA230403	SRP040281	SAMN04490798	SRS1308361	2016-02-24	2016-02-24	13	54	Agona	ND	Assembled	111	309160	4976142	Salmonella enterica;88.89%	83	6247	3.32	Agona	B	Agona	4	7997	4344	4344	4344	4181	477	419	29	29	28	28	28	28	28	2	pulsenet next generation subtyping methods unit	SRR3185118	ILLUMINA	Paired	_	SRX1598381	555097098	239
SAL_FA4104AA	211711	SRR3323018;ILLUMINA;Paired;;SRX1675229;361313172;99	SAL_FA4104AA	Human	Human	Homo sapiens; human	2016	1	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Typhimurium	I	NA	NA	NA	Public Health England	NA	PRJNA248792	SRP042645	SAMN04601102	SRS1372006	2016-04-02	2016-04-02	19	1	Typhimurium	ND	Assembled	73	214311	4891869	Salmonella enterica;98.8%	86	2740	3.41	Typhimurium	B	Typhimurium	4	5154	1852	1852	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	public health england	SRR3323018	ILLUMINA	Paired	_	SRX1675229	361313172	99
SAL_FA6697AA	10_A2099	SRR3476849;ILLUMINA;Paired;;SRX1741534;295903800;100	SAL_FA6697AA	Human	Human	Homo sapiens; Stools	2014	1	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939448	SRS1421095	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	59	198774	4969090	Salmonella enterica;96.05%	80	24787	4	Typhimurium	B	Typhimurium	4	187754	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476849	ILLUMINA	Paired	_	SRX1741534	295903800	100
SAL_FA6698AA	9_A2096	SRR3476848;ILLUMINA;Paired;;SRX1741533;756365200;100	SAL_FA6698AA	Human	Human	Homo sapiens; Stools	2014	1	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939447	SRS1421094	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	155	270739	4884667	Salmonella enterica;98.28%	61	20426	4	Typhimurium	B	Typhimurium	4	187743	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476848	ILLUMINA	Paired	_	SRX1741533	756365200	100
SAL_FA6699AA	8_A2097	SRR3476847;ILLUMINA;Paired;;SRX1741532;557684800;100	SAL_FA6699AA	Human	Human	Homo sapiens; Stools	2014	1	NA	NA	Oceania	Australia	NA	City of Parramatta Council	Sydney	NA	-33.86	151.2094	Typhimurium	I	NA	NA	DT135(Aus)	NSW Health Pathology - CIDM-PH, ICPMR	Phillips A. 2016 PM:27629541	PRJNA320449	SRP074336	SAMN04939446	SRS1421093	2016-05-16	2016-05-10	19	1	Typhimurium	ND	Assembled	114	270739	4882852	Salmonella enterica;98.57%	74	22367	4	Typhimurium	B	Typhimurium	4	187744	39888	39888	1852	1852	1852	1852	1503	1503	2	2	2	2	2	2	nsw health pathology - cidm-ph, icpmr	SRR3476847	ILLUMINA	Paired	_	SRX1741532	557684800	100
