"Lab_Contact_Lowercase"	"Lab Contact"	"counts"
"shea fanning, ucd"	"Shea Fanning, UCD"	163
"anses lsal"	"ANSES LSAL"	160
"central research institute for epidemiology"	"Central Research Institute for Epidemiology"	159
"genometrakr project: sdsu veterinary & biomedical sciences"	"GenomeTrakr Project: SDSU Veterinary & Biomedical Sciences"	156
"nsslrl"	"NSSLRL"	155
"norwegian institute of public health"	"NORWEGIAN INSTITUTE OF PUBLIC HEALTH"	151
"tokyo univetsity of agriculture"	"Tokyo Univetsity of Agriculture"	150
"m. cummins (uts, sydney)"	"M. Cummins (UTS, Sydney)"	149
"university of liverpool"	"UNIVERSITY OF LIVERPOOL"	147
"jay hinton"	"Jay Hinton"	145
"laboratoire de sante publique du quebec"	"Laboratoire de sante publique du Quebec"	145
"izsler"	"IZSLER"	143
"public health england (m. chattaway)"	"Public Health England (M. Chattaway)"	143
"sichuan university"	"Sichuan University"	140
"craig parker, usda ars"	"Craig Parker, USDA ARS"	137
"utrecht university"	"UTRECHT UNIVERSITY"	135
"genometrakr project: thakur molecular epidemiology laboratory, nc state university"	"GenomeTrakr Project: Thakur Molecular Epidemiology Laboratory, NC State University"	133
"dudley lab"	"Dudley Lab"	131
"microbiological diagnostic unit public health laboratory"	"Microbiological Diagnostic Unit Public Health Laboratory"	130
"food and drug administration, center for food safety and applied nutrition"	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	129
"netherlands food and consumer product safety authority"	"Netherlands Food and Consumer Product Safety Authority"	129
"university of helsinki"	"University of Helsinki"	128
"food and drug administration-college park"	"Food and Drug Administration-College Park"	124
"national institute of health dr. ricardo jorge"	"NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE"	123
"ciad"	"CIAD"	122
"national institute of health"	"National Institute of Health"	122
"microbiological diagnostic unit"	"Microbiological Diagnostic Unit"	121
"nkuchia mikanatha"	"Nkuchia Mikanatha"	118
"vet-lirn: cornell university, ithaca, ny"	"Vet-LIRN: Cornell University, Ithaca, NY"	118
"centers for disease control and prevention (cdc)"	"Centers for Disease Control and Prevention (CDC)"	116
"carlos"	"Carlos"	115
"massey university"	"MASSEY UNIVERSITY"	115
"friedrich-loeffler-institut"	"Friedrich-Loeffler-Institut"	114
"central research institute of epidemiology"	"Central Research Institute of Epidemiology"	112
"usda animal plant health inspection service-national veterinary services laboratories - dbl"	"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL"	112
"animal health laboratory uofg submission group"	"Animal Health Laboratory UofG submission group"	111
"colorado state university"	"Colorado State University"	111
"the university of melbourne"	"The University of Melbourne"	111
"university of bath"	"University of Bath"	110
"nestle research center"	"Nestle Research Center"	106
"university of georgia, food safety center, dr. deng's lab"	"University of Georgia, Food Safety Center, Dr. Deng's Lab"	106
"abdurrahman h. jibril"	"Abdurrahman H. Jibril"	105
"genometrakr project: ohio department of agriculture | animal disease diagnostic laboratory"	"GenomeTrakr Project: Ohio Department of Agriculture | Animal Disease Diagnostic Laboratory"	105
"laboratory for foodborne zoonoses, public health agency of canada"	"Laboratory for Foodborne Zoonoses, Public Health Agency of Canada"	104
"vet-lirn project: ohio department of agriculture | animal disease diagnostic laboratory"	"Vet-LIRN Project: Ohio Department of Agriculture | Animal Disease Diagnostic Laboratory"	104
"vet-lirn project: sdsu veterinary & biomedical sciences/ doh south dakota"	"Vet-LIRN Project: SDSU Veterinary & Biomedical Sciences/ DOH South Dakota"	104
"amrid"	"AMRID"	103
"fda/cfsan/ny_state"	"FDA/CFSAN/NY_State"	103
"institut pasteur"	"Institut Pasteur"	103
"mohammed"	"Mohammed"	103
"mrcg"	"MRCG"	102
"e. litrup (ssi)"	"E. Litrup (SSI)"	101
"vitali sintchenko (westmead)"	"Vitali Sintchenko (Westmead)"	100
"university of oxford"	"UNIVERSITY OF OXFORD"	99
"national microbiology laboratory at guelph"	"National Microbiology Laboratory at Guelph"	98
"animal and plant health agency"	"ANIMAL AND PLANT HEALTH AGENCY"	97
"dele ogunremi"	"Dele Ogunremi"	97
"nanyang technological university"	"Nanyang Technological University"	95
"sciensano"	"Sciensano"	92
"university of sydney"	"UNIVERSITY OF SYDNEY"	90
"vet-lirn: washington  state university, animal disease diagnostic laboratory"	"Vet-LIRN: Washington  State University, Animal Disease Diagnostic Laboratory"	90
"s. simon (rki)"	"S. Simon (RKI)"	89
"university of connecticut"	"University of Connecticut"	89
"hpa"	"HPA"	87
"z zhou"	"Z Zhou"	87
"naomi"	"Naomi"	86
"institut de biologie integrative et des systemes"	"Institut de Biologie Integrative et des Systemes"	83
"national public health laboratory"	"National Public Health Laboratory"	82
"agricultural research service"	"Agricultural Research Service"	81
"genometrakr project: sdsu veterinary & biomedical sciences/ doh south dakota"	"GenomeTrakr Project: SDSU Veterinary & Biomedical Sciences/ DOH South Dakota"	81
"university of minnesota"	"University of Minnesota"	81
"thakur lab"	"Thakur lab"	80
"jiangsu key laboratory of zoonosis in yangzhou university, jiangsu (china)"	"Jiangsu Key laboratory of Zoonosis in Yangzhou University, Jiangsu (China)"	79
"doherty institute"	"Doherty Institute"	78
"hhs greater glasgow & clyde"	"HHS Greater Glasgow & Clyde"	76
"public health agency canada"	"Public Health Agency Canada"	76
"anses lsal"	"ANSES LSAl"	74
"rivm - national institute for public health and the environment"	"RIVM - National Institute for Public Health and the Environment"	74
"lncc"	"LNCC"	73
"louisiana animal disease diagnostics laboratory"	"Louisiana Animal Disease Diagnostics Laboratory"	73
"university of cambrdge"	"University of Cambrdge"	73
"none"	"None"	72
"gurjeetkohli@ntu.edu.sg"	"gurjeetkohli@ntu.edu.sg"	71
"izs plv"	"IZS PLV"	71
"edlb-cdc"	"EDLB-CDC"	70
"new york state genometrakr"	"New York State GenomeTrakr"	70
"sichuan university"	"SICHUAN UNIVERSITY"	70
"dr. james herrick"	"Dr. James Herrick"	69
"abdurrahman hassan jibril"	"Abdurrahman Hassan Jibril"	68
"cfs"	"CFS"	68
"the genome center at washington university school of medicine in st. louis"	"The Genome Center at Washington University School of Medicine in St. Louis"	68
"kaunda yamba, zambia"	"Kaunda Yamba, Zambia"	66
"centers for disease control and prevention"	"Centers for Disease Control and Prevention"	65
"yujie hu"	"Yujie Hu"	64
"l. bonifait; l. baugé"	"L. Bonifait; L. Baugé"	63
NA	NA	63
"national centre for infectious diseases"	"National Centre for Infectious Diseases"	62
"nd dept of health"	"ND Dept of Health"	60
"usda-ars-usmarc"	"USDA-ARS-USMARC"	60
"qhfss"	"QHFSS"	59
"food and drug administration and national center for toxicological research"	"Food and Drug Administration and National Center for Toxicological Research"	58
"irena.meistere@bior.lv"	"irena.meistere@bior.lv"	58
"istituto zooprofilattico sperimentale delle venezie"	"Istituto Zooprofilattico Sperimentale delle Venezie"	58
"shlomo sela lab"	"Shlomo Sela lab"	57
"embl"	"EMBL"	56
"university of muenster"	"University of Muenster"	56
"chinese pla center for disease control and prevention"	"Chinese PLA Center for Disease Control and Prevention"	54
"marguerite.e.m. nikiema/université joseph ki-zerbo"	"Marguerite.E.M. Nikiema/Université Joseph Ki-Zerbo"	54
"u.s. food and drug administration"	"U.S. Food and Drug Administration"	54
"chien-shun (cdc, taiwan)"	"Chien-Shun (CDC, Taiwan)"	53
"fda/cfsan/mdh"	"FDA/CFSAN/MDH"	53
"fss"	"FSS"	53
"l.bonifait_hqpap unit_anses ploufragan france"	"L.Bonifait_HQPAP Unit_ANSES Ploufragan France"	53
"max cummins, university of technology, sydney"	"Max Cummins, University of Technology, Sydney"	53
"new york vetlirn submission group"	"New York VetLIRN Submission Group"	53
"european centre for disease prevention and control"	"European Centre for Disease Prevention and Control"	52
"texas a&m university"	"Texas A&M University"	52
"li' lab"	"Li' lab"	51
"jose"	"Jose"	50
"ikhimiukor odion"	"Ikhimiukor Odion"	49
"jiangsu key lab of zoonosis"	"Jiangsu key Lab of zoonosis"	48
"rachel hodgeman"	"Rachel Hodgeman"	48
"texas tech university icfie food safety research lab"	"Texas Tech University ICFIE Food Safety Research Lab"	48
"university of rwanda"	"University of Rwanda"	48
"uppsala university"	"Uppsala University"	48
"e litrup"	"E Litrup"	47
"brigham & women's hospital"	"Brigham & Women's Hospital"	46
"china cdc"	"China CDC"	46
"curtin university"	"Curtin University"	46
"institute for food safety and hygiene university of zurich"	"Institute for Food Safety and Hygiene University of Zurich"	46
"iow state university"	"Iow State University"	46
"fda center for veterinary medicine"	"FDA Center for Veterinary Medicine"	45
"national veterinary institute (sva)"	"NATIONAL VETERINARY INSTITUTE (SVA)"	45
"afrims"	"AFRIMS"	44
"cfsa"	"CFSA"	44
"shenzhen centre for disease control and prevention, shenzhen, china"	"Shenzhen Centre for Disease Control and Prevention, Shenzhen, China"	44
"university of birmingham"	"UNIVERSITY OF BIRMINGHAM"	44
"brenda noble"	"Brenda Noble"	43
"hazem ramadan: faculty of veterinary medicine, mansoura university, mansoura-egypt & us national poultry research center, usda-ars, athens, georgia-usa"	"Hazem Ramadan: Faculty of Veterinary Medicine, Mansoura University, Mansoura-Egypt & US National Poultry Research center, USDA-ARS, Athens, Georgia-USA"	43
"vitor.borges@insa.min-saude.pt"	"vitor.borges@insa.min-saude.pt"	43
"785-532-1299"	"785-532-1299"	42
"bundesinstitut f??�r risikobewertung (bfr)"	"Bundesinstitut f??�r Risikobewertung (BfR)"	42
"dtu-ge"	"DTU-GE"	42
"forensic and scientific services"	"Forensic and Scientific Services"	42
"french agency for food, environmental and occupational health & safety (anses)"	"French Agency for Food, Environmental and Occupational Health & Safety (ANSES)"	42
"babdalhamid@unmc.edu"	"babdalhamid@unmc.edu"	41
"scelse, nanyang technological university, singapore"	"SCELSE, Nanyang Technological University, Singapore"	41
"twincore"	"TWINCORE"	41
"zhejiang university"	"Zhejiang university"	41
"american university of beirut"	"American University of Beirut"	39
"dtu-cfb"	"DTU-CfB"	39
"m. torpdahl (ssi, denmark)"	"M. Torpdahl (SSI, Denmark)"	39
"moon"	"Moon"	39
"sfda"	"SFDA"	39
"south dakota adrdl"	"South Dakota ADRDL"	38
"nih"	"NIH"	37
"scau vet"	"SCAU Vet"	37
"sichuan university"	"sichuan university"	37
"university of birmingham"	"University of Birmingham"	37
"university of zurich"	"University of Zurich"	37
"a"	"A"	36
"european bioinformatics institute"	"European Bioinformatics Institute"	36
"kritchai"	"kritchai"	36
"phe, m.chattaway"	"PHE, M.Chattaway"	36
"university of maryland"	"University of Maryland"	36
"l. bonifait -anses ploufragan - hqpap unit"	"L. Bonifait -Anses Ploufragan - HQPAP Unit"	35
"louisiana state university"	"Louisiana State University"	35
"national veterinary research institute"	"NATIONAL VETERINARY RESEARCH INSTITUTE"	35
"0"	"0"	34
"7062964077"	"7062964077"	34
"certis"	"Certis"	34
"fpiras@uniss.it"	"fpiras@uniss.it"	34
"montana dphhs"	"Montana DPHHS"	34
"nctr"	"NCTR"	34
"state of alaska public health laboratory"	"State of Alaska Public Health Laboratory"	34
"university of nebraska-lincoln"	"University of Nebraska-Lincoln"	34
"center for disease control and prevention"	"Center for Disease Control and Prevention"	32
"mapa"	"mapa"	31
"nyc dohmh"	"NYC DOHMH"	31
"technical university of denmark�"	"Technical University of Denmark�"	31
"christian kornschober"	"Christian Kornschober"	30
"friedrich-loeffler-institut (fli) institute for bacterial infections and zoonoses (ibiz)"	"FRIEDRICH-LOEFFLER-INSTITUT (FLI) Institute for Bacterial Infections and Zoonoses (IBIZ)"	30
"gihe(gyeonggi-do institute of health & environment)"	"GIHE(Gyeonggi-do Institute of Health & Environment)"	30
"paudyal_narayan@hotmail.com"	"paudyal_narayan@hotmail.com"	30
"uc davis narms submission group"	"UC Davis NARMS submission group"	30
"european food safety authority"	"European Food safety authority"	29
"gm"	"GM"	29
"jyhyeon1205@gmail.com"	"jyhyeon1205@gmail.com"	29
"tgen north"	"TGen North"	29
"university of washington - department of microbiology, miller laboratory"	"University of Washington - Department of Microbiology, Miller Laboratory"	29
"food and drug administration, center for food safety and applied nutrition"	"Food and Drug Administration, Center for Food Safety and Applied Nutrition"	28
"technical university of denmark - centre for genomic epidemiology, national food institute"	"Technical University of Denmark - Centre for Genomic Epidemiology, National Food Institute"	28
"northern arizona university"	"Northern Arizona University"	27
"statens serum institut"	"Statens Serum Institut"	27
"esr"	"ESR"	26
"itacyl"	"ITACyL"	26
"izslt (istituto zooprofilattico sperimentale del lazio e la toscana)"	"IZSLT (Istituto Zooprofilattico Sperimentale del Lazio e la Toscana)"	26
"murdoch university"	"Murdoch University"	26
"national veterinary institute (sva)"	"National Veterinary Institute (SVA)"	26
"scientific institute of public health (wiv-isp)"	"Scientific Institute of Public Health (WIV-ISP)"	26
"instituto adolfo lutz"	"Instituto Adolfo Lutz"	25
"jufalcao@fcfrp.usp.br"	"jufalcao@fcfrp.usp.br"	25
"rki"	"RKI"	25
"central research institute of epidemiology (russia) and  amc (amsterdam, the netherlands)"	"Central Research Institute of Epidemiology (Russia) and  AMC (Amsterdam, The Netherlands)"	24
"institute of tropical medicine"	"Institute of Tropical Medicine"	24
"moon tay"	"Moon Tay"	24
"national taiwan university"	"National Taiwan University"	24
"alba"	"Alba"	23
"mahidol university"	"Mahidol University"	23
"mkhitar mkrtchyan"	"Mkhitar Mkrtchyan"	23
"wm"	"WM"	23
"fda cvm narms-ohio state university"	"FDA CVM NARMS-Ohio State University"	22
"huazhong agricultural university"	"Huazhong Agricultural university"	22
"izs plva"	"IZS PLVA"	22
"l. bonifait- anses ploufragan - hqpap unit"	"L. Bonifait- Anses Ploufragan - HQPAP Unit"	22
"michigan department of community health"	"Michigan Department of Community Health"	22
"national center for biotechnology information"	"National Center for Biotechnology Information"	22
"p.alba"	"P.Alba"	22
"veterinary research institute"	"Veterinary Research Institute"	22
"iowa state university narms-wgs group"	"Iowa State University NARMS-WGS group"	21
"labovet"	"labovet"	21
"national university of singapore and genome institute of singapore"	"National University of Singapore and Genome Institute of Singapore"	21
"translational genomics research institute north"	"Translational Genomics Research Institute North"	21
"ucph"	"UCPH"	21
"university of california, berkeley"	"University of California, Berkeley"	21
"yuanmeng"	"yuanmeng"	21
"bojan papic"	"Bojan Papic"	20
"child health research foundation"	"Child Health Research Foundation"	20
"earlham institute"	"Earlham Institute"	20
"inta_argentina"	"INTA_Argentina"	20
"korea centers for disease control & prevention (kcdc)"	"Korea Centers for Disease Control & Prevention (KCDC)"	20
"l. bonifait - anses ploufragan - hqpap unit"	"L. Bonifait - Anses Ploufragan - HQPAP Unit"	20
"sheba medical center"	"Sheba Medical Center"	20
"the university of sydney"	"The University of Sydney"	20
"l. bonifait, l. baugé"	"L. Bonifait, L. Baugé"	19
"national centre for food safety risk assessment (china)"	"National Centre for Food Safety Risk Assessment (China)"	19
"national institute of health, portugal"	"National Institute of Health, Portugal"	19
"c. kornschober (austria)"	"C. Kornschober (Austria)"	18
"cdphe"	"CDPHE"	18
"e. cohen"	"E. Cohen"	18
"fda cvm narms - texas tech university"	"FDA CVM NARMS - Texas Tech University"	18
"ocean university of china"	"Ocean University of China"	18
"robert koch institute"	"Robert Koch Institute"	18
"university of california at davis"	"University of California at Davis"	18
"vermont department of health laboratory"	"Vermont Department of Health Laboratory"	18
"veterinary faculty"	"Veterinary Faculty"	18
"catherine ragimbeau, lns luxembourg"	"Catherine Ragimbeau, LNS Luxembourg"	17
"izs pb"	"IZS PB"	17
"pennsylvania state university"	"Pennsylvania State University"	17
"t.wołkowicz"	"T.Wołkowicz"	17
"ucd-100k"	"UCD-100K"	17
"usda agricultural research service"	"USDA Agricultural Research Service"	17
"wadsworth center / nysdoh"	"Wadsworth Center / NYSDOH"	17
"emiliano"	"Emiliano"	16
"fda cvm narms-kansas state university"	"FDA CVM NARMS-Kansas State University"	16
"genometrakr project: michigan department of agriculture and rural development | geagley laboratory"	"GenomeTrakr Project: Michigan Department of Agriculture and Rural Development | Geagley Laboratory"	16
"j.p. falcao"	"J.P. Falcao"	16
"lili li"	"Lili Li"	16
"public health england - salmonella reference unit"	"Public Health England - Salmonella Reference Unit"	16
"salmonella reference section,phe,colindale,u.k"	"Salmonella Reference Section,PHE,Colindale,U.K"	16
"south dakota state university"	"South Dakota State University"	16
"health canada"	"Health Canada"	15
"icdc"	"ICDC"	15
"maanshan cdc"	"MAANSHAN CDC"	15
"robert koche institute"	"Robert Koche Institute"	15
"ximin zeng"	"Ximin Zeng"	15
"d. gavacova (nrc for salmonella, slovakia)"	"D. Gavacova (NRC for Salmonella, Slovakia)"	14
"dalian university of technology"	"Dalian University of Technology"	14
"king abdullah university of science and technology"	"King Abdullah University of Science and Technology"	14
"lcsp"	"LCSP"	14
"mr. trung"	"Mr. Trung"	14
"sokoine university of agriculture"	"SOKOINE UNIVERSITY OF AGRICULTURE"	14
"tim johnson"	"Tim Johnson"	14
"washington university school of medicine - genome center (st. louis)"	"Washington University School of Medicine - Genome Center (St. Louis)"	14
"annaleise"	"Annaleise"	13
"cas key laboratory of pathogenic microbiology and immunology, institute of microbiology, chinese academy of sciences"	"CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences"	13
"eelcofranz"	"eelcofranz"	13
"indiana university"	"Indiana University"	13
"institute of clinical pathology and medical research, westmead hospital"	"Institute of Clinical Pathology and Medical Research, Westmead Hospital"	13
"massey university"	"Massey University"	13
"norwegian veterinary institute"	"Norwegian Veterinary Institute"	13
"phe"	"PHE"	13
"post graduate institute of medical education and research"	"Post Graduate Institute of Medical Education and Research"	13
"texas department of state health service"	"Texas Department of State Health Service"	13
"virginia division of consolidated laboratory services sequencing submission group"	"Virginia Division of Consolidated Laboratory Services Sequencing Submission Group"	13
"wittum laboratory sequence data group"	"Wittum laboratory sequence data group"	13
"ye feng"	"Ye Feng"	13
"zhejiang university school of medicine"	"Zhejiang University School of Medicine"	13
"andrew greenhill"	"Andrew Greenhill"	12
"animal disease prevention and food safety key laboratory of sichuan province"	"Animal Disease Prevention and Food Safety Key Laboratory of Sichuan Province"	12
"basel university"	"Basel University"	12
"claudia coipan, rivm"	"Claudia Coipan, RIVM"	12
"ebi"	"EBI"	12
"faesru"	"FAESRU"	12
"fisabio - public health"	"FISABIO - Public Health"	12
"genometrakr project: florida department of agriculture"	"GenomeTrakr Project: Florida Department of Agriculture"	12
"juanjo gonzález"	"Juanjo González"	12
"l fabre, institut pasteur"	"L Fabre, Institut Pasteur"	12
"l. fabre, institut pasteur"	"L. Fabre, Institut Pasteur"	12
"los alamos national laboratory"	"Los Alamos National Laboratory"	12
"r. karpiskova (vri brno)"	"R. Karpiskova (VRI BRNO)"	12
"salmonella reference section,phe,colindale,u.k, m.chattaway"	"Salmonella Reference Section,PHE,Colindale,U.K, M.Chattaway"	12
"sophie octavia"	"Sophie Octavia"	12
"university of copenhagen, faculty of health and medical sciences"	"University of Copenhagen, Faculty of Health and Medical Sciences"	12
"university of georgia"	"University of Georgia"	12
"university of maryland institute for genome sciences"	"University of Maryland Institute for Genome Sciences"	12
"usda-ars"	"USDA-ARS"	12
"china national centre for food safety risk assessment"	"China National Centre for Food Safety Risk Assessment"	11
"eelco franz"	"Eelco Franz"	11
"james herrick"	"James Herrick"	11
"l. bonifait"	"L. Bonifait"	11
"p. alba"	"P. alba"	11
"t. johnson"	"T. Johnson"	11
"uc berkeley"	"UC Berkeley"	11
"brown et al"	"Brown et al"	10
"bundesinstitut fuer risikobewertung (bfr)"	"Bundesinstitut fuer Risikobewertung (BfR)"	10
"ohio department of agriculture"	"Ohio Department of Agriculture"	10
"r. helmuth"	"R. Helmuth"	10
"technical university of denmark�?�"	"Technical University of Denmark�?�"	10
"university of sfax, faculty of medicin sfax"	"University of Sfax, Faculty of Medicin Sfax"	10
"wyoming public health laboratory"	"Wyoming Public Health Laboratory"	10
"zhang junjun(xianyang center for disease control and prevention)"	"Zhang Junjun(XianYang Center for Disease Control and Prevention)"	10
"+86"	"+86"	9
"centro de ciencias genomicas - unam"	"Centro de Ciencias Genomicas - UNAM"	9
"chenyang cao"	"Chenyang Cao"	9
"federation university australia"	"Federation University Australia"	9
"imi ul mf"	"IMI UL MF"	9
"l. bonifait; anses ploufragan, hqpap unit"	"L. Bonifait; Anses Ploufragan, HQPAP Unit"	9
"pulsenet next generation subtypng methods unit"	"PulseNet Next Generation Subtypng Methods Unit"	9
"qib"	"QIB"	9
"shenzhen nanshan cdc"	"SHENZHEN NANSHAN CDC"	9
"t_duodu@hotmail.com"	"t_duodu@hotmail.com"	9
"thakur lab"	"Thakur Lab"	9
"united states department of agriculture, agricultural research service"	"United States Department of Agriculture, Agricultural Research Service"	9
"universidad de la republica -instituto de higiene (uruguay)"	"Universidad de la Republica -Instituto de Higiene (Uruguay)"	9
"university of copenhagen"	"University of Copenhagen"	9
"university of nebraska medical center"	"University of Nebraska Medical Center"	9
"visavet"	"Visavet"	9
"washington state department of agriculture fs&cs lab"	"Washington State Department of Agriculture FS&CS Lab"	9
"cas key laboratory of pathogenic microbiology and immunology, institute of microbiology"	"CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology"	8
"craig parker, ars.usda"	"Craig Parker, ARS.USDA"	8
"dr s. le hello"	"Dr S. Le Hello"	8
"fda cvm narms-north carolina state university"	"FDA CVM NARMS-North Carolina State University"	8
"hart/kariuki"	"Hart/Kariuki"	8
"institute of clinical pathology and medical research"	"Institute of Clinical Pathology and Medical Research"	8
"korea centers for disease control & prevention"	"Korea Centers for Disease Control & Prevention"	8
