name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR7998201	Salmonella enterica	28901	S	3417408	529324	3946732	0.98508
SRR7998201	Salmonella bongori	54736	S	376	6	382	0.0001
SRR7998201	Escherichia coli	562	S	23781	28041	51822	0.01293
SRR7998201	Escherichia fergusonii	564	S	266	123	389	0.0001
SRR7998201	Escherichia albertii	208962	S	73	7	80	2e-05
SRR7998201	Escherichia marmotae	1499973	S	63	4	67	2e-05
SRR7998201	Citrobacter freundii	546	S	124	153	277	7e-05
SRR7998201	Citrobacter werkmanii	67827	S	91	28	119	3e-05
SRR7998201	Citrobacter braakii	57706	S	8	13	21	1e-05
SRR7998201	Citrobacter freundii complex sp. CFNIH2	2066049	S	4	10	14	0.0
SRR7998201	Citrobacter koseri	545	S	112	8	120	3e-05
SRR7998201	Citrobacter rodentium	67825	S	51	2	53	1e-05
SRR7998201	Citrobacter amalonaticus	35703	S	22	17	39	1e-05
SRR7998201	Citrobacter farmeri	67824	S	17	4	21	1e-05
SRR7998201	Citrobacter sp. FDAARGOS_156	1702170	S	10	3	13	0.0
SRR7998201	Citrobacter sp. CRE-46	1703250	S	9	35	44	1e-05
SRR7998201	Enterobacter cloacae	550	S	277	183	460	0.00011
SRR7998201	Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	68	60	128	3e-05
SRR7998201	Enterobacter asburiae	61645	S	17	7	24	1e-05
SRR7998201	Enterobacter cloacae complex sp.	2027919	S	7	2	9	0.0
SRR7998201	Enterobacter hormaechei	158836	S	6	44	50	1e-05
SRR7998201	Enterobacter cancerogenus	69218	S	5	0	5	0.0
SRR7998201	Enterobacter sp. SA187	1914861	S	19	0	19	0.0
SRR7998201	Enterobacter sp. R4-368	1166130	S	10	0	10	0.0
SRR7998201	Enterobacter sp. 638	399742	S	9	0	9	0.0
SRR7998201	Enterobacter sp. FY-07	1692238	S	8	0	8	0.0
SRR7998201	Enterobacter bugandensis	881260	S	5	1	6	0.0
SRR7998201	Klebsiella pneumoniae	573	S	265	666	931	0.00023
SRR7998201	Klebsiella aerogenes	548	S	21	0	21	1e-05
SRR7998201	Klebsiella variicola	244366	S	18	12	30	1e-05
SRR7998201	Klebsiella oxytoca	571	S	14	2	16	0.0
SRR7998201	Klebsiella quasipneumoniae	1463165	S	12	8	20	0.0
SRR7998201	Klebsiella michiganensis	1134687	S	6	1	7	0.0
SRR7998201	Cronobacter sakazakii	28141	S	20	14	34	1e-05
SRR7998201	Cronobacter malonaticus	413503	S	7	7	14	0.0
SRR7998201	Cronobacter muytjensii	413501	S	6	1	7	0.0
